Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       27/04/20
Time:       13:30
Revision:   Not in VersionControl
Variant:    Arribada TT4
Units used: mm

Designator Comment                        Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                     Pad-X(mm) Pad-Y(mm) 
ANT1       2JCP2540101Ga                  BottomLayer 2JCP2540101GA             15.6500      17.5250      270      "GNSS ANTENNA CERAMIC PATCH GPS/GALILEO/GLONASS/BEIDOU"         15.6500   17.5250   
C1         "10UF 0402 6.3V 20% X5R"       TopLayer    CAP0402N                  44.7090      27.7000      180      "CAP CER 10UF 0402 6.3V 20% X5R"                                45.1590   27.7000   
C2         "470NF 0402 6.3V +50%/-20%"    TopLayer    YFF15PC                   47.4750      6.3000       270      "CAP FEEDTHRU 470NF 0402 6.3V +50%/-20%"                        47.4750   6.8000    
C3         "10UF 0402 6.3V 20% X5R"       TopLayer    CAP0402N                  44.7090      29.7000      180      "CAP CER 10UF 0402 6.3V 20% X5R"                                45.1590   29.7000   
C4         "10UF 0402 6.3V 20% X5R"       TopLayer    CAP0402N                  44.7090      28.7000      180      "CAP CER 10UF 0402 6.3V 20% X5R"                                45.1590   28.7000   
C5         "1UF 0201 10V 20% X5R"         TopLayer    CAP0201L                  31.9000      3.4750       90       "CAP CER 1UF 0201 10V 20% X5R"                                  31.9000   3.1950    
C6         "470NF 0402 6.3V +50%/-20%"    TopLayer    YFF15PC                   30.5500      4.2500       360      "CAP FEEDTHRU 470NF 0402 6.3V +50%/-20%"                        30.0500   4.2500    
C7         "CAP CER 10PF 0201 25V 5% C0G" TopLayer    Passive0201L              43.3750      26.9500      90       "CAP CER 10PF 0201 25V 5% C0G"                                  43.3750   26.6700   
C8         "CAP NF 0402"                  TopLayer    CAP0402N_NF               42.2900      29.7000      0        "CAP NF 0402"                                                   41.8400   29.7000   
C9         "10NF 0402 16V 20% X7R"        TopLayer    CAP0402N                  21.9750      22.2303      360      "CAP CER 10NF 0402 16V 20% X7R"                                 21.5250   22.2303   
C10        "470NF 0402 6.3V +50%/-20%"    TopLayer    YFF15PC                   28.1250      20.7500      360      "CAP FEEDTHRU 470NF 0402 6.3V +50%/-20%"                        27.6250   20.7500   
C11        "1NF 0402 50V 5%"              TopLayer    CAP0402N                  43.1250      11.2250      270      "CAP CER 1NF 0402 50V 5% C0G"                                   43.1250   11.6750   
C12        "470NF 0402 6.3V +50%/-20%"    TopLayer    YFF15PC                   22.9250      17.1250      180      "CAP FEEDTHRU 470NF 0402 6.3V +50%/-20%"                        23.4250   17.1250   
C14        "470NF 0402 6.3V +50%/-20%"    BottomLayer YFF15PC                   32.7500      14.5500      360      "CAP FEEDTHRU 470NF 0402 6.3V +50%/-20%"                        32.2500   14.5500   
C19        "100NF 0201 35V 10% X5R"       TopLayer    CAP0201L                  49.6750      12.0000      270      "CAP CER 100NF 0201 35V 10% X5R"                                49.6750   12.2800   
